id,title,year,genre,poster,description,imdb_rating,theatre_ids
1,Avatar,2009,"Action, Adventure, Fantasy",http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,7.9,"{1,2,4,5,10,16,21,22,24,25,30,36,41,42,44,45,50}"
2,I Am Legend,2007,"Drama, Horror, Sci-Fi",http://ia.media-imdb.com/images/M/MV5BMTU4NzMyNDk1OV5BMl5BanBnXkFtZTcwOTEwMzU1MQ@@._V1_SX300.jpg,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",7.2,"{6,11,12,14,16,18,20,26,31,32,34,36,38,40,46,51,52,54}"
3,Three Hundred,2006,"Action, Drama, Fantasy",http://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1_SX300.jpg,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,7.7,"{1,13,21,33,41,53}"
4,The Avengers,2012,"Action, Sci-Fi, Thriller",http://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,Earths mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,8.1,"{5,17,25,37,45}"
5,The Wolf of Wall Street,2013,"Biography, Comedy, Crime",http://ia.media-imdb.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,"{1,2,9,9,11,12,13,14,17,19,20,21,22,29,29,31,32,33,34,37,39,40,41,42,49,49,51,52,53,54}"
6,Interstellar,2014,"Adventure, Drama, Sci-Fi",http://ia.media-imdb.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_SX300.jpg,A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival.,8.6,"{7,14,27,34,47,54}"
7,Game of Thrones,2011,"Adventure, Drama, Fantasy",http://ia.media-imdb.com/images/M/MV5BMjM5OTQ1MTY5Nl5BMl5BanBnXkFtZTgwMjM3NzMxODE@._V1_SX300.jpg,"While a civil war brews between several noble families in Westeros, the children of the former rulers of the land attempt to rise up to power. Meanwhile a forgotten race, bent on destruction, plans to return after thousands of years in the North.",9.5,"{3,12,23,32,43,52}"
8,Vikings,2013,"Action, Drama, History",http://ia.media-imdb.com/images/M/MV5BOTEzNzI3MDc0N15BMl5BanBnXkFtZTgwMzk1MzA5NzE@._V1_SX300.jpg,"The world of the Vikings is brought to life through the journey of Ragnar Lothbrok, the first Viking to emerge from Norse legend and onto the pages of history - a man on the edge of myth.",8.6,"{8,18,28,38,48}"
9,Gotham,2014,"Action, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BMTY2MjMwNDE4OV5BMl5BanBnXkFtZTgwNjI1NjU0OTE@._V1_SX300.jpg,The story behind Detective James Gordons rise to prominence in Gotham City in the years before Batmans arrival.,8,"{2,15,22,35,42,55}"
10,Power,2014,"Crime, Drama",http://ia.media-imdb.com/images/M/MV5BOTA4NTkzMjUzOF5BMl5BanBnXkFtZTgwNzg5ODkxOTE@._V1_SX300.jpg,"James Ghost St. Patrick, a wealthy New York night club owner who has it all, catering for the citys elite and dreaming big, lives a double life as a drug kingpin.",8,"{10,20,30,40,50}"
11,Narcos,2015,"Biography, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BMTU0ODQ4NDg2OF5BMl5BanBnXkFtZTgwNzczNTE4OTE@._V1_SX300.jpg,A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar.,8.9,
